Date,Population,Genotype,Region,Stage,Hours,Acclimation,Temp,N_Eggs,N_Hatched,N_Eggs_for_Pupa_Adult,N_Pupated,N_Eclosed
7/19/22,Ghana,GH174,Tropical,Early,4,30,38.75,86,58,40,6,5
7/19/22,Ghana,GH169,Tropical,Early,4,30,38.75,20,10,NA,NA,NA
7/19/22,France,FRMO01,Temperate,Early,4,30,38.75,19,14,NA,NA,NA
7/19/22,France,FRMO02,Temperate,Early,4,30,38.75,16,3,NA,NA,NA
7/19/22,Japan,JPSC,Temperate,Early,4,30,38.75,40,36,40,16,11
7/20/22,Ghana,GH174,Tropical,Early,10,18,38.75,120,15,40,0,0
7/20/22,Ghana,GH169,Tropical,Early,10,18,38.75,100,35,40,0,0
7/20/22,France,FRMO01,Temperate,Early,10,18,38.75,100,20,40,4,3
7/20/22,France,FRMO02,Temperate,Early,10,18,38.75,100,10,20,0,0
7/20/22,Japan,JPSC,Temperate,Early,10,18,38.75,100,57,40,1,0
7/26/22,Ghana,GH174,Tropical,Early,4,30,38.75,100,40,20,1,1
7/26/22,Ghana,GH169,Tropical,Early,4,30,38.75,40,29,20,1,1
7/26/22,Japan,JPSC,Temperate,Early,4,30,38.75,100,73,20,11,8
7/26/22,Japan,JPOK,Temperate,Early,4,30,38.75,10,8,NA,NA,NA
7/26/22,France,FRMO01,Temperate,Early,4,30,38.75,25,22,20,6,6
7/26/22,France,FRMO02,Temperate,Early,4,30,38.75,100,24,20,1,1
7/26/22,Ghana,GH174,Tropical,Early,6,25,38.75,80,32,20,0,0
7/26/22,Ghana,GH169,Tropical,Early,6,25,38.75,20,12,20,6,6
7/26/22,Japan,JPSC,Temperate,Early,6,25,38.75,100,87,20,4,4
7/26/22,Japan,JPOK,Temperate,Early,6,25,38.75,20,16,NA,NA,NA
7/26/22,France,FRMO01,Temperate,Early,6,25,38.75,15,13,NA,NA,NA
7/26/22,France,FRMO02,Temperate,Early,6,25,38.75,100,32,20,1,0
7/27/22,Ghana,GH174,Tropical,Early,10,18,38.75,100,3,20,0,0
7/27/22,Ghana,GH169,Tropical,Early,10,18,38.75,100,12,20,0,0
7/27/22,Japan,JPSC,Temperate,Early,10,18,38.75,100,26,20,0,0
7/27/22,Japan,JPOK,Temperate,Early,10,18,38.75,100,36,20,0,0
7/27/22,France,FRMO01,Temperate,Early,10,18,38.75,100,23,20,3,2
7/27/22,France,FRMO02,Temperate,Early,10,18,38.75,100,3,20,0,0
8/2/22,Ghana,GH169,Tropical,Early,4,30,38.75,40,27,20,NA,3
8/2/22,Ghana,GH174,Tropical,Early,4,30,38.75,90,25,20,NA,1
8/2/22,Japan,JPSC,Temperate,Early,4,30,38.75,100,79,20,NA,5
8/2/22,Japan,JPOK,Temperate,Early,4,30,38.75,20,15,20,NA,12
8/2/22,France,FRMO01,Temperate,Early,4,30,38.75,100,59,20,NA,4
8/2/22,France,FRMO02,Temperate,Early,4,30,38.75,100,16,20,NA,1
8/2/22,Ghana,GH169,Tropical,Early,6,25,38.75,20,9,20,NA,3
8/2/22,Ghana,GH174,Tropical,Early,6,25,38.75,20,3,20,NA,0
8/2/22,Japan,JPSC,Temperate,Early,6,25,38.75,100,83,20,NA,0
8/2/22,Japan,JPOK,Temperate,Early,6,25,38.75,20,15,NA,NA,NA
8/2/22,France,FRMO01,Temperate,Early,6,25,38.75,100,70,20,NA,12
8/2/22,France,FRMO02,Temperate,Early,6,25,38.75,100,8,20,NA,0
8/2/22,Ghana,GH169,Tropical,Early,10,18,38.75,100,35,20,NA,2
8/2/22,Ghana,GH174,Tropical,Early,10,18,38.75,100,1,20,NA,0
8/2/22,Japan,JPSC,Temperate,Early,10,18,38.75,100,25,20,NA,0
8/2/22,Japan,JPOK,Temperate,Early,10,18,38.75,100,12,20,NA,0
8/2/22,France,FRMO01,Temperate,Early,10,18,38.75,100,24,20,NA,0
8/2/22,France,FRMO02,Temperate,Early,10,18,38.75,100,0,20,NA,0